	mass A			
t	x	y	r	
2.486	0.299	2.789E-2	0.301
2.502	0.300	2.791E-2	0.301
2.519	0.299	2.791E-2	0.301
2.536	0.300	2.793E-2	0.301
2.553	0.299	2.795E-2	0.301
2.569	0.299	2.796E-2	0.301
2.586	0.300	2.798E-2	0.301
2.603	0.300	2.799E-2	0.301
2.619	0.300	2.799E-2	0.301
2.636	0.300	2.796E-2	0.301
2.653	0.300	2.800E-2	0.301
2.669	0.300	2.805E-2	0.302
2.686	0.300	2.807E-2	0.302
2.703	0.301	2.805E-2	0.302
2.719	0.301	2.805E-2	0.302
2.736	0.301	2.809E-2	0.303
2.753	0.302	2.821E-2	0.303
2.769	0.302	2.852E-2	0.303
2.786	0.303	2.877E-2	0.304
2.803	0.304	2.885E-2	0.305
2.819	0.305	2.886E-2	0.306
2.836	0.306	2.869E-2	0.308
2.853	0.307	2.866E-2	0.309
2.870	0.308	2.913E-2	0.310
2.886	0.309	2.995E-2	0.310
2.903	0.309	3.130E-2	0.311
2.920	0.309	3.290E-2	0.311
2.936	0.309	3.515E-2	0.311
2.953	0.309	3.731E-2	0.311
2.970	0.309	3.942E-2	0.311
2.986	0.309	4.175E-2	0.312
3.003	0.310	4.423E-2	0.313
3.020	0.310	4.670E-2	0.313
3.036	0.311	4.915E-2	0.315
3.053	0.311	5.183E-2	0.316
3.070	0.312	5.444E-2	0.317
3.086	0.313	5.736E-2	0.318
3.103	0.314	6.031E-2	0.320
3.120	0.316	6.323E-2	0.322
3.136	0.317	6.645E-2	0.324
3.153	0.318	6.984E-2	0.326
3.170	0.320	7.343E-2	0.328
3.187	0.321	7.692E-2	0.330
3.203	0.323	8.060E-2	0.333
3.220	0.324	8.389E-2	0.335
3.237	0.326	8.675E-2	0.338
3.253	0.328	8.936E-2	0.340
3.270	0.329	9.130E-2	0.342
3.287	0.331	9.316E-2	0.344
3.303	0.333	9.457E-2	0.346
3.320	0.335	9.548E-2	0.348
3.337	0.337	9.621E-2	0.351
3.353	0.339	9.662E-2	0.352
3.370	0.341	9.672E-2	0.354
3.387	0.343	9.673E-2	0.356
3.403	0.345	9.647E-2	0.358
3.420	0.347	9.611E-2	0.360
3.437	0.349	9.544E-2	0.362
3.453	0.351	9.477E-2	0.364
3.470	0.354	9.392E-2	0.366
3.487	0.357	9.316E-2	0.369
3.503	0.360	9.199E-2	0.371
3.520	0.363	9.080E-2	0.374
3.537	0.366	8.988E-2	0.377
3.554	0.370	8.853E-2	0.380
3.570	0.374	8.727E-2	0.384
3.587	0.378	8.597E-2	0.388
3.604	0.382	8.461E-2	0.391
3.620	0.387	8.326E-2	0.395
3.637	0.391	8.163E-2	0.399
3.654	0.395	8.005E-2	0.403
3.670	0.399	7.829E-2	0.407
3.687	0.403	7.657E-2	0.410
3.704	0.407	7.446E-2	0.413
3.720	0.410	7.238E-2	0.417
3.737	0.414	6.996E-2	0.420
3.754	0.417	6.751E-2	0.422
3.770	0.420	6.431E-2	0.425
3.787	0.423	6.067E-2	0.427
3.804	0.425	5.578E-2	0.429
3.820	0.427	5.030E-2	0.430
3.837	0.428	4.410E-2	0.430
3.854	0.429	3.748E-2	0.431
3.871	0.430	3.059E-2	0.431
3.887	0.431	2.682E-2	0.432
3.904	0.431	2.651E-2	0.431
3.921	0.432	2.668E-2	0.433
3.937	0.434	2.677E-2	0.434
3.954	0.433	2.685E-2	0.434
3.971	0.433	2.686E-2	0.434
3.987	0.433	2.695E-2	0.434
4.004	0.433	2.707E-2	0.434
4.021	0.434	2.728E-2	0.435
4.037	0.434	2.743E-2	0.435
4.054	0.434	2.782E-2	0.435
4.071	0.434	2.808E-2	0.435
4.087	0.434	2.843E-2	0.435
4.104	0.435	2.860E-2	0.436
4.121	0.436	2.862E-2	0.436
4.137	0.436	2.867E-2	0.437
4.154	0.436	2.888E-2	0.437
4.171	0.437	2.902E-2	0.438
4.188	0.437	2.925E-2	0.438
4.204	0.438	2.940E-2	0.439
4.221	0.439	2.969E-2	0.440
4.238	0.440	2.986E-2	0.441
4.254	0.441	2.993E-2	0.442
4.271	0.442	2.993E-2	0.443
4.288	0.442	2.992E-2	0.443
4.304	0.443	2.992E-2	0.444
4.321	0.443	2.994E-2	0.444
4.338	0.443	2.995E-2	0.444
4.354	0.443	2.994E-2	0.444
4.371	0.443	2.993E-2	0.444
4.388	0.443	2.991E-2	0.444
4.404	0.443	2.988E-2	0.444
4.421	0.443	2.990E-2	0.444
4.438	0.443	2.991E-2	0.444
4.454	0.444	2.990E-2	0.445
4.471	0.444	2.995E-2	0.445
4.488	0.444	2.999E-2	0.445
4.505	0.444	3.003E-2	0.445
4.521	0.444	3.005E-2	0.445
4.538	0.444	3.007E-2	0.445
4.555	0.444	3.016E-2	0.445
4.571	0.444	3.020E-2	0.445
4.588	0.444	3.019E-2	0.446
4.605	0.445	3.023E-2	0.446
4.621	0.445	3.026E-2	0.446
4.638	0.445	3.024E-2	0.446
4.655	0.445	3.022E-2	0.446
4.671	0.445	3.020E-2	0.446
4.688	0.445	3.018E-2	0.446
4.705	0.445	3.016E-2	0.447
4.721	0.446	3.011E-2	0.447
4.738	0.446	3.012E-2	0.447
4.755	0.446	2.934E-2	0.447
4.771	0.446	2.933E-2	0.447
4.788	0.446	2.951E-2	0.447
4.805	0.447	2.955E-2	0.448
4.821	0.448	2.975E-2	0.449
4.838	0.448	2.950E-2	0.449
4.855	0.448	2.983E-2	0.449
4.872	0.449	2.992E-2	0.450
4.888	0.449	3.055E-2	0.450
4.905	0.449	3.160E-2	0.450
4.922	0.448	3.306E-2	0.449
4.938	0.447	3.496E-2	0.449
4.955	0.447	3.666E-2	0.448
4.972	0.446	3.873E-2	0.448
4.988	0.446	4.082E-2	0.448
5.005	0.446	4.333E-2	0.448
5.022	0.446	4.569E-2	0.448
5.038	0.446	4.825E-2	0.449
5.055	0.447	5.098E-2	0.450
5.072	0.447	5.373E-2	0.451
5.088	0.448	5.679E-2	0.452
5.105	0.450	5.982E-2	0.454
5.122	0.451	6.303E-2	0.455
5.138	0.452	6.638E-2	0.457
5.155	0.454	6.971E-2	0.460
5.172	0.456	7.297E-2	0.462
5.189	0.459	7.575E-2	0.465
5.205	0.461	7.834E-2	0.467
5.222	0.463	8.063E-2	0.469
5.239	0.465	8.274E-2	0.472
5.255	0.467	8.460E-2	0.475
5.272	0.469	8.652E-2	0.477
5.289	0.471	8.837E-2	0.480
5.305	0.474	8.997E-2	0.482
5.322	0.476	9.131E-2	0.485
5.339	0.479	9.250E-2	0.488
5.355	0.482	9.342E-2	0.491
5.372	0.484	9.411E-2	0.493
5.389	0.487	9.459E-2	0.496
5.405	0.490	9.510E-2	0.499
5.422	0.493	9.554E-2	0.502
5.439	0.496	9.570E-2	0.505
5.455	0.500	9.577E-2	0.509
5.472	0.503	9.585E-2	0.512
5.489	0.507	9.561E-2	0.516
5.505	0.511	9.516E-2	0.520
5.522	0.516	9.460E-2	0.524
5.539	0.520	9.381E-2	0.528
5.556	0.524	9.276E-2	0.532
5.572	0.529	9.151E-2	0.537
5.589	0.533	9.018E-2	0.541
5.606	0.538	8.847E-2	0.545
5.622	0.543	8.669E-2	0.550
5.639	0.548	8.456E-2	0.554
5.656	0.552	8.217E-2	0.558
5.672	0.557	7.946E-2	0.562
5.689	0.561	7.702E-2	0.566
5.706	0.565	7.436E-2	0.570
5.722	0.569	7.145E-2	0.573
5.739	0.573	6.837E-2	0.577
5.756	0.576	6.518E-2	0.580
5.772	0.579	6.149E-2	0.582
5.789	0.582	5.719E-2	0.585
5.806	0.584	5.203E-2	0.586
5.822	0.585	4.639E-2	0.587
5.839	0.586	4.018E-2	0.588
5.856	0.587	3.374E-2	0.588
5.873	0.587	2.963E-2	0.588
5.889	0.588	2.939E-2	0.588
5.906	0.589	2.942E-2	0.590
5.923	0.590	2.963E-2	0.591
5.939	0.590	2.970E-2	0.591
5.956	0.590	2.995E-2	0.590
5.973	0.590	3.010E-2	0.590
5.989	0.590	3.027E-2	0.591
6.006	0.590	3.053E-2	0.591
6.023	0.591	3.071E-2	0.591
6.039	0.591	3.107E-2	0.591
6.056	0.591	3.140E-2	0.592
6.073	0.591	3.164E-2	0.592
6.089	0.591	3.192E-2	0.592
6.106	0.592	3.206E-2	0.593
6.123	0.592	3.209E-2	0.593
6.139	0.593	3.223E-2	0.593
6.156	0.593	3.231E-2	0.594
6.173	0.594	3.255E-2	0.594
6.190	0.594	3.271E-2	0.595
6.206	0.595	3.276E-2	0.596
6.223	0.596	3.288E-2	0.596
6.240	0.596	3.300E-2	0.597
6.256	0.597	3.237E-2	0.598
6.273	0.597	3.235E-2	0.598
