	mass D						
t	x	y	vx	vy	ax	ay	
1.151150E0	2.319320E-1	-1.468238E-1	1.686782E-1	9.624095E-2	5.399883E-1	3.449795E-1
1.167833E0	2.346294E-1	-1.450407E-1	1.655996E-1	1.137607E-1	2.318179E-1	1.010898E0
1.184517E0	2.374575E-1	-1.430280E-1	1.774033E-1	1.291945E-1	5.358323E-1	5.289134E-1
1.201200E0	2.405488E-1	-1.407299E-1	1.851886E-1	1.334801E-1	-4.993451E-2	2.448424E-1
1.217883E0	2.436366E-1	-1.385742E-1	1.758932E-1	1.342083E-1	1.721684E-1	1.457224E-1
1.234567E0	2.464178E-1	-1.362518E-1	1.856197E-1	1.402333E-1	7.548184E-1	4.732642E-2
1.251250E0	2.498301E-1	-1.338951E-1	2.073895E-1	1.361039E-1	8.762618E-1	-5.075637E-1
1.267933E0	2.533377E-1	-1.317105E-1	2.126291E-1	1.228360E-1	2.315698E-1	-6.247529E-1
1.284617E0	2.569249E-1	-1.297965E-1	2.153440E-1	1.138083E-1	2.615549E-1	-8.260398E-1
1.301300E0	2.605230E-1	-1.279131E-1	2.204292E-1	9.826064E-2	1.943524E-2	-1.415694E0
1.317983E0	2.642798E-1	-1.265178E-1	2.182902E-1	6.516051E-2	-4.861554E-1	-1.779327E0
1.334667E0	2.678066E-1	-1.257389E-1	2.027872E-1	3.707705E-2	-2.636756E-1	-1.970248E0
1.351350E0	2.710462E-1	-1.252807E-1	2.062888E-1	2.830412E-3	1.587314E-1	-2.283916E0
1.368033E0	2.746898E-1	-1.256444E-1	2.134755E-1	-4.192004E-2	4.899381E-1	-2.633531E0
1.384717E0	2.781691E-1	-1.266794E-1	2.181323E-1	-8.411670E-2	-4.064926E-1	-2.468348E0
1.401400E0	2.819681E-1	-1.284511E-1	2.063966E-1	-1.250249E-1	-4.230961E-1	-2.486139E0
1.418083E0	2.850559E-1	-1.308511E-1	1.951228E-1	-1.661163E-1	-1.761511E-1	-2.552198E0
1.434767E0	2.884787E-1	-1.339939E-1	2.062737E-1	-2.106694E-1	-5.180184E-1	-2.597402E0
1.451450E0	2.919386E-1	-1.378804E-1	1.805543E-1	-2.530952E-1	-1.850596E0	-1.764102E0
